股票代码,行业代码
600074,801080
600075,801030
600076,801140
600077,801180
600078,801030
600079,801150
600080,801150
600081,801880
600082,801230
600083,801230
600084,801120
600085,801150
600086,801140
600088,801760
600089,801730
600090,801150
600091,801030
600093,801790
600094,801180
600095,801180
600096,801030
600097,801010
600098,801160
600099,801880
600100,801750
600101,801160
600103,801140
600104,801880
600105,801770
600106,801170
600107,801130
600108,801010
600109,801790
600110,801080
600111,801050
600112,801730
600113,801200
600114,801050
600115,801170
600116,801160
600117,801040
600118,801740
600119,801170
600120,801200
600121,801020
600122,801200
600123,801020
600125,801170
600126,801040
600127,801010
600128,801230
600129,801150
600130,801770
600131,801160
600132,801120
600133,801720
600135,801140
600136,801760
600137,801130
600138,801210
600139,801230
600141,801030
600143,801030
600145,801710
600146,801130
600148,801880
600149,801230
600150,801740
600151,801730
600152,801080
600153,801170
600155,801790
600156,801130
600157,801020
600158,801760
600159,801180
600160,801030
600161,801150
600162,801180
600163,801160
600165,801890
600166,801880
600167,801160
600168,801160
600169,801890
600170,801720
600171,801080
600172,801890
600173,801180
600175,801230
600176,801030
600177,801180
600178,801880
600179,801170
600180,801170
600182,801030
600183,801080
600184,801740
600185,801180
600186,801120
600187,801160
600188,801020
600189,801010
600190,801170
600191,801010
600192,801730
600193,801720
600195,801010
600196,801150
600197,801120
600198,801770
600199,801120
600200,801230
600201,801010
600202,801730
600203,801080
600206,801050
600207,801730
600208,801180
600209,801720
600210,801140
600211,801150
600212,801230
600213,801880
600215,801180
600216,801150
600217,801160
600218,801890
600219,801050
600220,801130
600221,801170
600222,801150
600223,801180
600225,801180
600226,801010
600227,801150
600228,801030
600229,801760
600230,801030
600231,801040
600232,801130
600233,801170
600234,801230
600235,801140
600236,801160
600237,801080
600238,801120
600239,801180
600240,801180
600241,801200
600242,801760
600243,801890
600246,801180
600247,801200
600248,801720
600249,801030
600250,801200
600251,801010
600252,801150
600255,801050
600256,801030
600257,801010
600258,801210
600259,801050
600260,801770
600261,801080
600262,801890
600265,801010
600266,801180
600267,801150
600268,801730
600269,801170
600270,801170
600271,801750
600272,801150
600273,801030
600275,801010
600276,801150
600277,801030
600278,801200
600279,801170
600280,801200
600281,801230
600282,801040
600283,801160
600284,801720
600285,801150
600287,801200
600288,801080
600289,801770
600290,801730
600291,801790
600292,801160
600293,801770
600295,801020
600297,801880
600298,801010
600299,801030
600300,801120
600301,801030
600302,801890
600303,801880
600305,801120
600306,801200
600307,801040
600308,801140
600309,801030
600310,801160
600311,801050
600312,801730
600313,801010
600315,801030
600316,801740
600317,801170
600318,801790
600319,801030
600320,801890
600321,801710
600322,801180
600323,801160
600325,801180
600326,801720
600327,801880
600328,801030
600329,801150
600330,801050
600331,801050
600332,801150
600333,801160
600335,801880
600336,801110
600337,801140
600338,801050
